63	Fol  029v	FL27543183	4015	5410
64	Fol  030r	FL27543200	4015	5410
65	Fol  030v	FL27543214	4015	5410
66	Fol  031r	FL27543227	4015	5410
67	Fol  031v	FL27543237	4015	5410
68	Fol  032r	FL27543250	4015	5410
69	Fol  032v	FL27543259	4015	5410
70	Fol  033r	FL27543278	4015	5410
71	Fol  033v	FL27543292	4015	5410
72	Fol  034r	FL27543299	4015	5410
73	Fol  034v	FL27543310	4015	5410
74	Fol  035r	FL27543319	4015	5410
75	Fol  035v	FL27543328	4015	5410
76	Fol  036r	FL27543341	4015	5410
77	Fol  036v	FL27543357	4015	5410
78	Fol  037r	FL27543375	4015	5410
79	Fol  037v	FL27543389	4015	5410
80	Fol  038r	FL27543402	4015	5410
81	Fol  038v	FL27543421	4015	5410
82	Fol  039r	FL27543441	4015	5410
83	Fol  039v	FL27543458	4015	5410
84	Fol  040r	FL27543477	4015	5410
85	Fol  040v	FL27543490	4015	5410
86	Fol  041r	FL27543517	4015	5410
87	Fol  041v	FL27543531	4015	5410
88	Fol  042r	FL27543552	4015	5410
89	Fol  042v	FL27543564	4015	5410
90	Fol  043r	FL27543582	4015	5410
91	Fol  043v	FL27543594	4015	5410
92	Fol  044r	FL27543616	4015	5410
93	Fol  044v	FL27543632	4015	5410
94	Fol  045r	FL27543650	4015	5410
95	Fol  045v	FL27543669	4015	5410
96	Fol  046r	FL27543689	4015	5410
97	Fol  046v	FL27543703	4015	5410
98	Fol  047r	FL27543718	4015	5410
99	Fol  047v	FL27543739	4015	5410
100	Fol  048r	FL27543759	4015	5410
101	Fol  048v	FL27543774	4015	5410
102	Fol  049r	FL27543790	4015	5410
103	Fol  049v	FL27543810	4015	5410
104	Fol  050r	FL27543824	4015	5410
105	Fol  050v	FL27543844	4015	5410
106	Fol  050ar	FL27543858	4015	5410
107	Fol  050av	FL27543882	4015	5410
108	Fol  051r	FL27543897	4015	5410
109	Fol  051v	FL27543925	4015	5410
110	Fol  052r	FL27543938	4015	5410
111	Fol  052v	FL27543959	4015	5410
112	Fol  053r	FL27543973	4015	5410
113	Fol  053v	FL27543989	4015	5410
114	Fol  054r	FL27544005	4015	5410
115	Fol  054v	FL27544019	4015	5410
116	Fol  055r	FL27544037	4015	5410
117	Fol  055v	FL27544054	4015	5410
118	Fol  056r	FL27544069	4015	5410
119	Fol  056v	FL27544088	4015	5410
120	Fol  057r	FL27544107	4015	5410
121	Fol  057v	FL27544125	4015	5410
122	Fol  058r	FL27544139	4015	5410
123	Fol  058v	FL27544158	4015	5410
124	Fol  059r	FL27544169	4015	5410
125	Fol  059v	FL27544189	4015	5410
126	Fol  060r	FL27544199	4015	5410
127	Fol  060v	FL27544220	4015	5410
128	Fol  061r	FL27544237	4015	5410
129	Fol  061v	FL27544254	4015	5410
130	Fol  062r	FL27544268	4015	5410
131	Fol  062v	FL27544282	4015	5410
132	Fol  063r	FL27544302	4015	5410
133	Fol  063v	FL27544316	4015	5410
134	Fol  064r	FL27544334	4015	5410
135	Fol  064v	FL27544350	4015	5410
136	Fol  065r	FL27544364	4015	5410
137	Fol  065v	FL27544384	4015	5410
138	Fol  066r	FL27544398	4015	5410
139	Fol  066v	FL27544412	4015	5410
140	Fol  067r	FL27544425	4015	5410
141	Fol  067v	FL27544436	4015	5410
142	Fol  068r	FL27544450	4015	5410
143	Fol  068v	FL27544476	4015	5410
144	Fol  069r	FL27544487	4015	5410
145	Fol  069v	FL27544505	4015	5410
146	Fol  070r	FL27544521	4015	5410
147	Fol  070v	FL27544535	4015	5410
148	Fol  071r	FL27544554	4015	5410
149	Fol  071v	FL27544570	4015	5410
150	Fol  072r	FL27544583	4015	5410
151	Fol  072v	FL27544595	4015	5410
152	Fol  073r	FL27544604	4015	5410
153	Fol  073v	FL27544620	4015	5410
154	Fol  074r	FL27544626	4015	5410
155	Fol  074v	FL27544637	4015	5410
156	Fol  075r	FL27544651	4015	5410
157	Fol  075v	FL27544668	4015	5410
158	Fol  076r	FL27544685	4015	5410
159	Fol  076v	FL27544706	3943	5143
160	Fol  077r	FL27544724	4288	5470
161	Fol  077v	FL27544739	4015	5410
162	Fol  078r	FL27544759	4015	5410
163	Fol  078v	FL27544781	4015	5410
164	Fol  079r	FL27544799	4015	5410
165	Fol  079v	FL27544816	4015	5410
166	Fol  080r	FL27544832	4015	5410
167	Fol  080v	FL27544845	4015	5410
168	Fol  081r	FL27544865	4015	5410
169	Fol  081v	FL27544882	4015	5410
170	Fol  082r	FL27544895	4015	5410
171	Fol  082v	FL27544915	4015	5410
